"id","age_group","sentence","n_letters","trialtime","error_percent","backspaces"
111,"young",50,18,6379,0,1
112,"young",1,19,11373,0,11
112,"young",2,18,8414,0,3
112,"young",3,15,3649,0,0
112,"young",4,19,7027,0,5
112,"young",5,13,3095,0,0
112,"young",6,13,5158,0,3
112,"young",7,21,7490,0,1
112,"young",8,20,4923,0,0
112,"young",9,18,6829,0,4
112,"young",10,12,4313,0,1
112,"young",11,14,7449,0,6
112,"young",12,24,11320,0,6
112,"young",13,18,5747,0,0
112,"young",14,19,8441,1,1
112,"young",15,19,10034,0,10
112,"young",16,11,6349,0,7
112,"young",17,22,10841,0,4
112,"young",18,24,11401,0,6
112,"young",19,12,6649,0,7
112,"young",20,22,10940,0,7
112,"young",21,22,6495,0,0
112,"young",22,17,5722,0,2
112,"young",23,21,8664,0,4
112,"young",25,22,12710,0,9
112,"young",26,23,11987,0,4
112,"young",27,18,6724,0,3
112,"young",28,16,3741,0,0
112,"young",29,12,4833,0,3
112,"young",30,20,6544,0,1
112,"young",31,21,5307,0,0
112,"young",32,22,9867,0.0454545454545455,2
112,"young",33,23,11930,0,7
112,"young",34,18,10337,0.0555555555555556,5
112,"young",35,12,5621,1.08333333333333,1
112,"young",36,19,4748,0,0
112,"young",37,14,3792,0,0
112,"young",38,10,3523,0,0
112,"young",39,18,740,0.888888888888889,0
112,"young",40,11,3510,0,1
112,"young",41,15,8441,0,6
112,"young",42,15,3700,0,0
112,"young",43,21,8003,0,3
112,"young",44,17,6233,0,3
112,"young",45,20,10093,0,7
112,"young",46,21,8873,0,6
112,"young",47,22,8219,0,2
112,"young",48,21,7264,0,2
112,"young",49,18,7604,0,5
112,"young",50,18,11245,0,8
113,"young",1,19,4407,0.842105263157895,0
113,"young",2,18,12157,1.05555555555556,11
113,"young",3,15,3324,0.8,0
113,"young",4,19,8211,0.894736842105263,0
113,"young",5,13,8849,1.23076923076923,4
113,"young",7,21,8643,1,1
113,"young",8,20,2948,0.5,0
113,"young",9,18,3785,0.722222222222222,0
113,"young",10,12,3589,0.916666666666667,0
113,"young",11,14,4639,1.07142857142857,0
113,"young",12,24,6392,0.875,0
113,"young",13,18,7810,0.833333333333333,3
113,"young",14,19,5405,0.894736842105263,0
